scenario,mode,status,termination,solve_time_s,mipgap,best_bound,objective,Tmax,client_delay_sum,viol_C_sum,client_switches,positions_slack_used,switches_slot_sum,presence_sum,idle_sum,n_jobs,n_planes,n_clients,n_positions,H,model_id,preset,n_vars,n_cons,n_bin,scenario_type,window_tightness,jobs_per_plane_hint,positions_hint,seed,feasible,mipgap_filled
scn_few-loose_seed9_P3_pl5.xlsx,hard,ok,optimal,0.645,,,393632.0,4.3632e+16,0.0,0.0,0.0,0.0,0.0,0.0,350.0,12.0,5.0,3.0,5.0,59.92,final,,,,,few,loose,3.0,5,9.0,True,
scn_few-tight_seed10_P2_pl5.xlsx,soft12,ok,optimal,1152.0,,,700604.0,105604.0,0.0,0.0,,,0.0,0.0,595.0,19.0,5.0,3.0,5.0,108371.0,final,,,,,few,tight,2.0,5,10.0,True,
scn_few-tight_seed10_P2_pl5.xlsx,soft,ok,optimal,1127.0,,,700604.0,105604.0,0.0,0.0,,,0.0,0.0,595.0,19.0,5.0,3.0,5.0,108371.0,final,,,,,few,tight,2.0,5,10.0,True,
scn_few-tight_seed10_P2_pl5.xlsx,medium,ok,optimal,1151.0,,,700604.0,105604.0,0.0,0.0,0.0,,0.0,0.0,595.0,19.0,5.0,3.0,5.0,108371.0,final,,,,,few,tight,2.0,5,10.0,True,
scn_few-tight_seed10_P2_pl5.xlsx,hard,ok,optimal,1191.0,,,700604.0,105604.0,0.0,0.0,0.0,0.0,0.0,0.0,595.0,19.0,5.0,3.0,5.0,108371.0,final,,,,,few,tight,2.0,5,10.0,True,
scn_few-tight_seed11_P2_pl5.xlsx,soft12,ok,optimal,1165.0,,,677345.0,102345.0,0.0,0.0,,,0.0,575.0,0.0,15.0,5.0,3.0,5.0,104659.0,final,,,,,few,tight,2.0,5,11.0,True,
scn_few-tight_seed11_P2_pl5.xlsx,soft,ok,optimal,0.883,,,677345.0,102345.0,0.0,0.0,,,0.0,575.0,0.0,15.0,5.0,3.0,5.0,104659.0,final,,,,,few,tight,2.0,5,11.0,True,
scn_few-tight_seed11_P2_pl5.xlsx,medium,ok,optimal,1027.0,,,677345.0,102345.0,0.0,0.0,0.0,,0.0,0.0,575.0,15.0,5.0,3.0,5.0,104659.0,final,,,,,few,tight,2.0,5,11.0,True,
scn_few-tight_seed11_P2_pl5.xlsx,hard,ok,optimal,1005.0,,,677345.0,102345.0,0.0,0.0,0.0,0.0,0.0,0.0,575.0,15.0,5.0,3.0,5.0,104659.0,final,,,,,few,tight,2.0,5,11.0,True,
scn_few-tight_seed12_P2_pl5.xlsx,soft12,ok,optimal,1032.0,,,634729.0,94729.0,0.0,0.0,,,0.0,540.0,0.0,15.0,5.0,3.0,5.0,97301.0,final,,,,,few,tight,2.0,5,12.0,True,
scn_few-tight_seed12_P2_pl5.xlsx,soft,ok,optimal,0.852,,,634729.0,94729.0,0.0,0.0,,,0.0,540.0,0.0,15.0,5.0,3.0,5.0,97301.0,final,,,,,few,tight,2.0,5,12.0,True,
scn_few-tight_seed12_P2_pl5.xlsx,medium,ok,optimal,1047.0,,,634729.0,94729.0,0.0,0.0,0.0,,0.0,0.0,540.0,15.0,5.0,3.0,5.0,97301.0,final,,,,,few,tight,2.0,5,12.0,True,
scn_few-tight_seed12_P2_pl5.xlsx,hard,ok,optimal,3712.0,,,634729.0,94729.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,15.0,5.0,3.0,5.0,97301.0,final,,,,,few,tight,2.0,5,12.0,True,
scn_few-tight_seed1_P2_pl5.xlsx,soft12,ok,optimal,0.786,,,610.07,9007000000000000.0,0.0,0.0,,,0.0,520.0,0.0,14.0,5.0,3.0,5.0,93703.0,final,,,,,few,tight,2.0,5,1.0,True,
scn_few-tight_seed1_P2_pl5.xlsx,soft,ok,optimal,0.882,,,610.07,9007000000000000.0,0.0,0.0,,,0.0,520.0,0.0,14.0,5.0,3.0,5.0,93703.0,final,,,,,few,tight,2.0,5,1.0,True,
