scenario;mode;preset;status;termination;solve_time_s;mipgap;best_bound;objective;Tmax;client_delay_sum;viol_C_sum;client_switches;positions_slack_used;switches_slot_sum;presence_sum;idle_sum;n_jobs;n_planes;n_clients;n_positions;H
scn_few-loose_seed11_P3_pl5.xlsx;medium;fast;ok;optimal;0.653;;356.554;356.554;3.655.399.999.999.990;0.0;0.0;0.0;;0.0;0.0;320.0;9;5;3;5;53.888
scn_few-loose_seed11_P3_pl5.xlsx;medium;feasible;ok;optimal;0.711;;356.554;356.554;3.655.399.999.999.990;0.0;0.0;0.0;;0.0;0.0;320.0;9;5;3;5;53.888
scn_few-loose_seed11_P3_pl5.xlsx;hard;base;ok;optimal;0.447;;356.554;356.554;3.655.399.999.999.990;0.0;0.0;0.0;0.0;0.0;0.0;320.0;9;5;3;5;53.888
scn_few-loose_seed11_P3_pl5.xlsx;hard;fast;ok;optimal;0.668;;356.554;356.554;3.655.399.999.999.990;0.0;0.0;0.0;0.0;0.0;0.0;320.0;9;5;3;5;53.888
scn_few-loose_seed11_P3_pl5.xlsx;hard;feasible;ok;optimal;0.684;;356.554;356.554;3.655.399.999.999.990;0.0;0.0;0.0;0.0;0.0;0.0;320.0;9;5;3;5;53.888
scn_few-loose_seed12_P3_pl5.xlsx;soft12;base;ok;optimal;0.326;;295.36;295.36;25.36;0.0;0.0;;;0.0;0.0;270.0;8;5;3;5;43.678
scn_few-loose_seed12_P3_pl5.xlsx;soft12;fast;ok;optimal;0.451;;295.36;295.36;25.36;0.0;0.0;;;0.0;0.0;270.0;8;5;3;5;43.678
scn_few-loose_seed12_P3_pl5.xlsx;soft12;feasible;ok;optimal;0.43;;295.36;295.36;25.36;0.0;0.0;;;0.0;0.0;270.0;8;5;3;5;43.678
scn_few-loose_seed12_P3_pl5.xlsx;soft;base;ok;optimal;0.329;;295.36;295.36;25.36;0.0;0.0;;;0.0;0.0;270.0;8;5;3;5;43.678
scn_few-loose_seed12_P3_pl5.xlsx;soft;fast;ok;optimal;0.433;;295.36;295.36;25.36;0.0;0.0;;;0.0;0.0;270.0;8;5;3;5;43.678
scn_few-loose_seed12_P3_pl5.xlsx;soft;feasible;ok;optimal;0.445;;295.36;295.36;25.36;0.0;0.0;;;0.0;0.0;270.0;8;5;3;5;43.678
scn_few-loose_seed12_P3_pl5.xlsx;medium;base;ok;optimal;0.355;;295.36;295.36;25.36;0.0;0.0;0.0;;0.0;0.0;270.0;8;5;3;5;43.678
scn_few-loose_seed12_P3_pl5.xlsx;medium;fast;ok;optimal;0.491;;295.36;295.36;25.36;0.0;0.0;0.0;;0.0;0.0;270.0;8;5;3;5;43.678
scn_few-loose_seed12_P3_pl5.xlsx;medium;feasible;ok;optimal;0.438;;295.36;295.36;25.36;0.0;0.0;0.0;;0.0;0.0;270.0;8;5;3;5;43.678
scn_few-loose_seed12_P3_pl5.xlsx;hard;base;ok;optimal;0.367;;295.36;295.36;25.36;0.0;0.0;0.0;0.0;0.0;0.0;270.0;8;5;3;5;43.678
scn_few-loose_seed12_P3_pl5.xlsx;hard;fast;ok;optimal;0.439;;295.36;295.36;25.36;0.0;0.0;0.0;0.0;0.0;0.0;270.0;8;5;3;5;43.678
scn_few-loose_seed12_P3_pl5.xlsx;hard;feasible;ok;optimal;0.557;;295.36;295.36;25.36;0.0;0.0;0.0;0.0;0.0;0.0;270.0;8;5;3;5;43.678
scn_few-loose_seed1_P3_pl5.xlsx;soft12;base;ok;optimal;0.558;;39.591.200.000.000.000;39.591.200.000.000.000;35.912.000.000.000.000;0.0;0.0;;;0.0;0.0;360.0;12;5;3;5;61.065
scn_few-loose_seed1_P3_pl5.xlsx;soft12;fast;ok;optimal;0.623;;39.591.200.000.000.000;39.591.200.000.000.000;35.912.000.000.000.000;0.0;0.0;;;0.0;0.0;360.0;12;5;3;5;61.065
scn_few-loose_seed1_P3_pl5.xlsx;soft12;feasible;ok;optimal;0.67;;39.591.200.000.000.000;39.591.200.000.000.000;35.912.000.000.000.000;0.0;0.0;;;0.0;0.0;360.0;12;5;3;5;61.065
scn_few-loose_seed1_P3_pl5.xlsx;soft;base;ok;optimal;0.549;;39.591.200.000.000.000;39.591.200.000.000.000;35.912.000.000.000.000;0.0;0.0;;;0.0;0.0;360.0;12;5;3;5;61.065
scn_few-loose_seed1_P3_pl5.xlsx;soft;fast;ok;optimal;0.604;;39.591.200.000.000.000;39.591.200.000.000.000;35.912.000.000.000.000;0.0;0.0;;;0.0;0.0;360.0;12;5;3;5;61.065
scn_few-loose_seed1_P3_pl5.xlsx;soft;feasible;ok;optimal;0.72;;39.591.200.000.000.000;39.591.200.000.000.000;35.912.000.000.000.000;0.0;0.0;;;0.0;0.0;360.0;12;5;3;5;61.065
scn_few-loose_seed1_P3_pl5.xlsx;medium;base;ok;optimal;0.959;;39.591.200.000.000.000;39.591.200.000.000.000;35.912.000.000.000.000;0.0;0.0;0.0;;0.0;0.0;360.0;12;5;3;5;61.065
scn_few-loose_seed1_P3_pl5.xlsx;medium;fast;ok;optimal;1.124;;39.591.200.000.000.000;39.591.200.000.000.000;35.912.000.000.000.000;0.0;0.0;0.0;;0.0;0.0;360.0;12;5;3;5;61.065
scn_few-loose_seed1_P3_pl5.xlsx;medium;feasible;ok;optimal;0.893;;39.591.200.000.000.000;39.591.200.000.000.000;35.912.000.000.000.000;0.0;0.0;0.0;;0.0;0.0;360.0;12;5;3;5;61.065
scn_few-loose_seed1_P3_pl5.xlsx;hard;base;ok;optimal;0.927;;39.591.200.000.000.000;39.591.200.000.000.000;35.912.000.000.000.000;0.0;0.0;0.0;0.0;0.0;0.0;360.0;12;5;3;5;61.065
scn_few-loose_seed1_P3_pl5.xlsx;hard;fast;ok;optimal;0.969;;39.591.200.000.000.000;39.591.200.000.000.000;35.912.000.000.000.000;0.0;0.0;0.0;0.0;0.0;0.0;360.0;12;5;3;5;61.065
scn_few-loose_seed1_P3_pl5.xlsx;hard;feasible;ok;optimal;0.921;;39.591.200.000.000.000;39.591.200.000.000.000;35.912.000.000.000.000;0.0;0.0;0.0;0.0;0.0;0.0;360.0;12;5;3;5;61.065
scn_few-loose_seed2_P3_pl5.xlsx;soft12;base;ok;optimal;0.593;;40.736.199.999.999.900;40.736.199.999.999.900;37.361.999.999.999.900;0.0;0.0;;;0.0;0.0;370.0;13;5;3;5;63.423
scn_few-loose_seed2_P3_pl5.xlsx;soft12;fast;ok;optimal;0.947;;40.736.199.999.999.900;40.736.199.999.999.900;37.361.999.999.999.900;0.0;0.0;;;0.0;0.0;370.0;13;5;3;5;63.423
scn_few-loose_seed2_P3_pl5.xlsx;soft12;feasible;ok;optimal;1.104;;40.736.199.999.999.900;40.736.199.999.999.900;37.361.999.999.999.900;0.0;0.0;;;0.0;0.0;370.0;13;5;3;5;63.423
scn_few-loose_seed2_P3_pl5.xlsx;soft;base;ok;optimal;0.613;;40.736.199.999.999.900;40.736.199.999.999.900;37.361.999.999.999.900;0.0;0.0;;;0.0;0.0;370.0;13;5;3;5;63.423
scn_few-loose_seed2_P3_pl5.xlsx;soft;fast;ok;optimal;0.961;;40.736.199.999.999.900;40.736.199.999.999.900;37.361.999.999.999.900;0.0;0.0;;;0.0;0.0;370.0;13;5;3;5;63.423
scn_few-loose_seed2_P3_pl5.xlsx;soft;feasible;ok;optimal;0.962;;40.736.199.999.999.900;40.736.199.999.999.900;37.361.999.999.999.900;0.0;0.0;;;0.0;0.0;370.0;13;5;3;5;63.423
