scenario;mode;preset;status;termination;solve_time_s;mipgap;best_bound;objective;Tmax;client_delay_sum;viol_C_sum;client_switches;positions_slack_used;switches_slot_sum;presence_sum;idle_sum;n_jobs;n_planes;n_clients;n_positions;H;n_vars;n_cons;n_bin
scn_few-tight_seed3_P2_pl5.xlsx;soft12;base;ok;optimal;3.345;;;;10.839.099.999.999.900;0.0;0.0;;;0.0;0.0;595.0;13;5;3;5;10.839.099.999.999.900;16836;21689;16671
scn_few-tight_seed3_P2_pl5.xlsx;soft;base;ok;optimal;3.705;;;;10.839.099.999.999.900;0.0;0.0;;;0.0;0.0;595.0;13;5;3;5;10.839.099.999.999.900;16842;21692;16671
scn_few-tight_seed3_P2_pl5.xlsx;medium;base;ok;optimal;3.992;;;;10.839.099.999.999.900;0.0;0.0;0.0;;0.0;0.0;595.0;13;5;3;5;10.839.099.999.999.900;17102;22732;16931
scn_few-tight_seed3_P2_pl5.xlsx;hard;base;ok;optimal;4.078;;;;10.839.099.999.999.900;0.0;0.0;0.0;0.0;0.0;0.0;595.0;13;5;3;5;10.839.099.999.999.900;17107;22737;16936
scn_few-tight_seed4_P2_pl5.xlsx;soft12;base;ok;optimal;5.327;;;;128.178;0.0;0.0;;;0.0;0.0;695.0;17;5;3;5;128.178;23460;30153;23247
scn_few-tight_seed4_P2_pl5.xlsx;soft;base;ok;optimal;6.099;;;;128.178;0.0;0.0;;;0.0;0.0;695.0;17;5;3;5;128.178;23466;30156;23247
scn_few-tight_seed4_P2_pl5.xlsx;medium;base;ok;optimal;6.955;;;;128.178;0.0;0.0;0.0;;0.0;0.0;695.0;17;5;3;5;128.178;23896;31876;23677
scn_few-tight_seed4_P2_pl5.xlsx;hard;base;ok;optimal;5.704;;;;128.178;0.0;0.0;0.0;0.0;0.0;0.0;695.0;17;5;3;5;128.178;23901;31881;23682
scn_few-tight_seed5_P2_pl5.xlsx;soft12;base;ok;optimal;4.928;;;;119.024;0.0;0.0;;;0.0;0.0;650.0;16;5;3;5;119.024;21136;27236;20935
scn_few-tight_seed5_P2_pl5.xlsx;soft;base;ok;optimal;4.35;;;;119.024;0.0;0.0;;;0.0;0.0;650.0;16;5;3;5;119.024;21142;27239;20935
scn_few-tight_seed5_P2_pl5.xlsx;medium;base;ok;optimal;2.793;;;;119.024;0.0;0.0;0.0;;0.0;0.0;650.0;16;5;3;5;119.024;21522;28759;21315
scn_few-tight_seed5_P2_pl5.xlsx;hard;base;ok;optimal;3.127;;;;119.024;0.0;0.0;0.0;0.0;0.0;0.0;650.0;16;5;3;5;119.024;21527;28764;21320
scn_few-tight_seed6_P2_pl5.xlsx;soft12;base;ok;optimal;3.347;;;;129.666;0.0;0.0;;;0.0;0.0;700.0;15;5;3;5;129.666;21489;27493;21300
scn_few-tight_seed6_P2_pl5.xlsx;soft;base;ok;optimal;4.366;;;;129.666;0.0;0.0;;;0.0;0.0;700.0;15;5;3;5;129.666;21495;27496;21300
scn_few-tight_seed6_P2_pl5.xlsx;medium;base;ok;optimal;3.263;;;;129.666;0.0;0.0;0.0;;0.0;0.0;700.0;15;5;3;5;129.666;21850;28916;21655
scn_few-tight_seed6_P2_pl5.xlsx;hard;base;ok;optimal;2.671;;;;129.666;0.0;0.0;0.0;0.0;0.0;0.0;700.0;15;5;3;5;129.666;21855;28921;21660
scn_few-tight_seed7_P2_pl5.xlsx;soft12;base;ok;optimal;2.529;;;;116.651;0.0;0.0;;;0.0;0.0;635.0;16;5;3;5;116.651;20716;26741;20515
scn_few-tight_seed7_P2_pl5.xlsx;soft;base;ok;optimal;2.844;;;;116.651;0.0;0.0;;;0.0;0.0;635.0;16;5;3;5;116.651;20722;26744;20515
scn_few-tight_seed7_P2_pl5.xlsx;medium;base;ok;optimal;4.143;;;;116.651;0.0;0.0;0.0;;0.0;0.0;635.0;16;5;3;5;116.651;21102;28264;20895
scn_few-tight_seed7_P2_pl5.xlsx;hard;base;ok;optimal;5.011;;;;116.651;0.0;0.0;0.0;0.0;0.0;0.0;635.0;16;5;3;5;116.651;21107;28269;20900
scn_few-tight_seed8_P2_pl5.xlsx;soft12;base;ok;optimal;4.841;;;;12.505.499.999.999.900;0.0;0.0;;;0.0;0.0;680.0;16;5;3;5;12.505.499.999.999.900;21976;28226;21775
scn_few-tight_seed8_P2_pl5.xlsx;soft;base;ok;optimal;4.135;;;;12.505.499.999.999.900;0.0;0.0;;;0.0;0.0;680.0;16;5;3;5;12.505.499.999.999.900;21982;28229;21775
scn_few-tight_seed8_P2_pl5.xlsx;medium;base;ok;optimal;4.689;;;;12.505.499.999.999.900;0.0;0.0;0.0;;0.0;0.0;680.0;16;5;3;5;12.505.499.999.999.900;22387;29849;22180
scn_few-tight_seed8_P2_pl5.xlsx;hard;base;ok;optimal;4.796;;;;12.505.499.999.999.900;0.0;0.0;0.0;0.0;0.0;0.0;680.0;16;5;3;5;12.505.499.999.999.900;22392;29854;22185
scn_few-tight_seed9_P2_pl5.xlsx;soft12;base;ok;optimal;3.585;;;;112.346;0.0;0.0;;;0.0;0.0;615.0;13;5;3;5;112.346;17336;22289;17171
scn_few-tight_seed9_P2_pl5.xlsx;soft;base;ok;optimal;4.443;;;;112.346;0.0;0.0;;;0.0;0.0;615.0;13;5;3;5;112.346;17342;22292;17171
scn_few-tight_seed9_P2_pl5.xlsx;medium;base;ok;optimal;4.77;;;;112.346;0.0;0.0;0.0;;0.0;0.0;615.0;13;5;3;5;112.346;17602;23332;17431
scn_few-tight_seed9_P2_pl5.xlsx;hard;base;ok;optimal;3.825;;;;112.346;0.0;0.0;0.0;0.0;0.0;0.0;615.0;13;5;3;5;112.346;17607;23337;17436
scn_heavy-tight_seed1_P4_pl30.xlsx;soft12;base;ERROR;Cannot load a SolverResults object with bad status: aborted;;;;;;;;;;;;;;;;;;;;
scn_heavy-tight_seed1_P4_pl30.xlsx;soft;base;ERROR;Cannot load a SolverResults object with bad status: aborted;;;;;;;;;;;;;;;;;;;;
scn_heavy-tight_seed1_P4_pl30.xlsx;medium;base;ERROR;Cannot load a SolverResults object with bad status: aborted;;;;;;;;;;;;;;;;;;;;
scn_heavy-tight_seed1_P4_pl30.xlsx;hard;base;ERROR;Cannot load a SolverResults object with bad status: aborted;;;;;;;;;;;;;;;;;;;;
scn_heavy-tight_seed2_P4_pl30.xlsx;soft12;base;ERROR;Cannot load a SolverResults object with bad status: aborted;;;;;;;;;;;;;;;;;;;;
scn_heavy-tight_seed2_P4_pl30.xlsx;soft;base;ERROR;Cannot load a SolverResults object with bad status: aborted;;;;;;;;;;;;;;;;;;;;
scn_heavy-tight_seed2_P4_pl30.xlsx;medium;base;ERROR;Cannot load a SolverResults object with bad status: aborted;;;;;;;;;;;;;;;;;;;;
scn_heavy-tight_seed2_P4_pl30.xlsx;hard;base;ERROR;Cannot load a SolverResults object with bad status: aborted;;;;;;;;;;;;;;;;;;;;
scn_heavy-tight_seed3_P4_pl30.xlsx;soft12;base;ERROR;Cannot load a SolverResults object with bad status: aborted;;;;;;;;;;;;;;;;;;;;
scn_heavy-tight_seed3_P4_pl30.xlsx;soft;base;ERROR;Cannot load a SolverResults object with bad status: aborted;;;;;;;;;;;;;;;;;;;;
scn_heavy-tight_seed3_P4_pl30.xlsx;medium;base;ERROR;Cannot load a SolverResults object with bad status: aborted;;;;;;;;;;;;;;;;;;;;
scn_heavy-tight_seed3_P4_pl30.xlsx;hard;base;ERROR;Cannot load a SolverResults object with bad status: aborted;;;;;;;;;;;;;;;;;;;;
scn_heavy-tight_seed4_P4_pl30.xlsx;soft12;base;ERROR;Cannot load a SolverResults object with bad status: aborted;;;;;;;;;;;;;;;;;;;;
scn_heavy-tight_seed4_P4_pl30.xlsx;soft;base;ERROR;Cannot load a SolverResults object with bad status: aborted;;;;;;;;;;;;;;;;;;;;
scn_heavy-tight_seed4_P4_pl30.xlsx;medium;base;ERROR;Cannot load a SolverResults object with bad status: aborted;;;;;;;;;;;;;;;;;;;;
scn_heavy-tight_seed4_P4_pl30.xlsx;hard;base;ERROR;Cannot load a SolverResults object with bad status: aborted;;;;;;;;;;;;;;;;;;;;
scn_heavy-tight_seed5_P4_pl30.xlsx;soft12;base;ERROR;Cannot load a SolverResults object with bad status: aborted;;;;;;;;;;;;;;;;;;;;
scn_heavy-tight_seed5_P4_pl30.xlsx;soft;base;ERROR;Cannot load a SolverResults object with bad status: aborted;;;;;;;;;;;;;;;;;;;;
scn_heavy-tight_seed5_P4_pl30.xlsx;medium;base;ERROR;Cannot load a SolverResults object with bad status: aborted;;;;;;;;;;;;;;;;;;;;
scn_heavy-tight_seed5_P4_pl30.xlsx;hard;base;ERROR;Cannot load a SolverResults object with bad status: aborted;;;;;;;;;;;;;;;;;;;;
scn_heavy-tight_seed6_P4_pl30.xlsx;soft12;base;ERROR;Cannot load a SolverResults object with bad status: aborted;;;;;;;;;;;;;;;;;;;;
scn_heavy-tight_seed6_P4_pl30.xlsx;soft;base;ERROR;Cannot load a SolverResults object with bad status: aborted;;;;;;;;;;;;;;;;;;;;
scn_heavy-tight_seed6_P4_pl30.xlsx;medium;base;ERROR;Cannot load a SolverResults object with bad status: aborted;;;;;;;;;;;;;;;;;;;;
scn_heavy-tight_seed6_P4_pl30.xlsx;hard;base;ERROR;Cannot load a SolverResults object with bad status: aborted;;;;;;;;;;;;;;;;;;;;
scn_heavy-tight_seed7_P4_pl30.xlsx;soft12;base;ERROR;Cannot load a SolverResults object with bad status: aborted;;;;;;;;;;;;;;;;;;;;
scn_heavy-tight_seed7_P4_pl30.xlsx;soft;base;ERROR;Cannot load a SolverResults object with bad status: aborted;;;;;;;;;;;;;;;;;;;;
