file,mode,solve_time_s,status,termination,gap,best_bound,objective,Tmax,client_delay_sum,viol_C_sum,client_switches,positions_slack_used,switches_slot_sum,presence_sum,idle_sum,n_positions,n_jobs,n_planes,n_clients,H
scn_many-tight_seed105.xlsx,hard,9.673,warning,infeasible,,,,,,,,,,,,5.0,78.0,12.0,6.0,38.31
scn_many-tight_seed106.xlsx,soft12,7.245,warning,infeasible,,,,,,,,,,,,5.0,77.0,12.0,6.0,41.098
scn_many-tight_seed106.xlsx,soft,7.183,warning,infeasible,,,,,,,,,,,,5.0,77.0,12.0,6.0,41.098
scn_many-tight_seed106.xlsx,medium,9.363,warning,infeasible,,,,,,,,,,,,5.0,77.0,12.0,6.0,41.098
scn_many-tight_seed106.xlsx,hard,9.092,warning,infeasible,,,,,,,,,,,,5.0,77.0,12.0,6.0,41.098
scn_many-tight_seed107.xlsx,soft12,6.072,warning,infeasible,,,,,,,,,,,,5.0,71.0,12.0,6.0,40.743
scn_many-tight_seed107.xlsx,soft,6.481,warning,infeasible,,,,,,,,,,,,5.0,71.0,12.0,6.0,40.743
scn_many-tight_seed107.xlsx,medium,7.517,warning,infeasible,,,,,,,,,,,,5.0,71.0,12.0,6.0,40.743
scn_many-tight_seed107.xlsx,hard,7.588,warning,infeasible,,,,,,,,,,,,5.0,71.0,12.0,6.0,40.743
scn_many-tight_seed108.xlsx,soft12,7.081,warning,infeasible,,,,,,,,,,,,5.0,75.0,12.0,6.0,44.313
scn_many-tight_seed108.xlsx,soft,6.806,warning,infeasible,,,,,,,,,,,,5.0,75.0,12.0,6.0,44.313
scn_many-tight_seed108.xlsx,medium,8.433,warning,infeasible,,,,,,,,,,,,5.0,75.0,12.0,6.0,44.313
scn_many-tight_seed108.xlsx,hard,8.834,warning,infeasible,,,,,,,,,,,,5.0,75.0,12.0,6.0,44.313
scn_many-tight_seed109.xlsx,soft12,6.932,warning,infeasible,,,,,,,,,,,,5.0,72.0,12.0,6.0,39.722
scn_many-tight_seed109.xlsx,soft,6.545,warning,infeasible,,,,,,,,,,,,5.0,72.0,12.0,6.0,39.722
scn_many-tight_seed109.xlsx,medium,8.566,warning,infeasible,,,,,,,,,,,,5.0,72.0,12.0,6.0,39.722
scn_many-tight_seed109.xlsx,hard,8.638,warning,infeasible,,,,,,,,,,,,5.0,72.0,12.0,6.0,39.722
scn_many-tight_seed110.xlsx,soft12,6.666,warning,infeasible,,,,,,,,,,,,5.0,73.0,12.0,6.0,42.021
scn_many-tight_seed110.xlsx,soft,6.536,warning,infeasible,,,,,,,,,,,,5.0,73.0,12.0,6.0,42.021
scn_many-tight_seed110.xlsx,medium,8.244,warning,infeasible,,,,,,,,,,,,5.0,73.0,12.0,6.0,42.021
scn_many-tight_seed110.xlsx,hard,8.411,warning,infeasible,,,,,,,,,,,,5.0,73.0,12.0,6.0,42.021
